ID_REF,GSM6826,GSM6829,GSM6830,GSM6831
D31763_at,20.0,272.0,20.0,257.0
D31764_at,20.0,20.0,20.0,778.0
D31765_at,5707.0,12236.0,5980.0,2695.0
D31766_at,3424.0,3342.0,2565.0,2026.0
D31767_at,20341.0,19397.0,10735.0,13195.0
D31784_at,634.0,635.0,148.0,462.0
D31797_at,191.0,1759.0,745.0,423.0
D31815_at,1248.0,20.0,1174.0,907.0
D31833_s_at,253.0,20.0,20.0,2052.0
D31840_s_at,2117.0,2861.0,2215.0,1208.0
D31846_at,7783.0,11874.0,13613.0,10155.0
D31883_at,15388.0,21170.0,17551.0,11358.0
D31884_at,2664.0,3383.0,5867.0,2496.0
D31885_at,9128.0,4032.0,8093.0,13349.0
D31886_at,20.0,20.0,20.0,83.0
D31887_at,597.0,1924.0,20.0,41.0
D31888_at,744.0,345.0,20.0,166.0
D31889_at,999.0,700.0,20.0,335.0
D31890_at,2720.0,4200.0,3674.0,4071.0
D31891_at,2705.0,2882.0,1969.0,1169.0
D31897_at,769.0,20.0,1073.0,670.0
D32001_at,5004.0,8025.0,4569.0,1088.0
D32002_s_at,20.0,20.0,20.0,20.0
D32050_at,12366.0,9160.0,8054.0,10752.0
D32129_f_at,7800.0,4631.0,8371.0,6199.0
D32202_at,544.0,1834.0,1607.0,1025.0
D37781_s_at,20.0,20.0,20.0,20.0
D37931_at,695.0,1429.0,1227.0,1718.0
D37965_at,202.0,635.0,138.0,300.0
D37984_s_at,20.0,20.0,20.0,590.0
D38024_at,2622.0,7501.0,2475.0,20.0
D38037_at,20.0,20.0,527.0,20.0
D38047_at,5961.0,4533.0,15398.0,18223.0
D38048_at,4666.0,2618.0,6118.0,9936.0
D38073_at,698.0,543.0,1242.0,1179.0
D38076_at,2114.0,1351.0,4085.0,4637.0
D38081_at,197.0,20.0,20.0,84.0
D38122_at,20.0,4.0,65.0,523.0
D38128_at,20.0,20.0,20.0,20.0
D38145_at,1052.0,2337.0,1203.0,649.0
D38163_s_at,20.0,20.0,20.0,20.0
D38251_s_at,4418.0,5864.0,5073.0,3685.0
D38293_at,2924.0,2030.0,20.0,529.0
D38305_at,2033.0,3917.0,20.0,20.0
D38437_f_at,856.0,20.0,20.0,20.0
D38449_at,20.0,20.0,637.0,20.0
D38462_at,20.0,20.0,20.0,20.0
D38491_at,221.0,378.0,1597.0,100.0
D38496_s_at,875.0,1474.0,408.0,2566.0
D38498_f_at,709.0,3020.0,2468.0,20.0
D38500_at,347.0,20.0,20.0,20.0
D38502_at,20.0,20.0,20.0,20.0
D38503_at,84.0,248.0,20.0,412.0
D38521_at,746.0,2779.0,193.0,624.0
D38522_at,9522.0,6502.0,7134.0,7382.0
D38524_at,1254.0,740.0,245.0,384.0
D38535_at,2791.0,8961.0,1345.0,2090.0
D38537_s_at,307.0,291.0,20.0,20.0
D38548_at,2421.0,531.0,4010.0,843.0
D38549_at,1757.0,3588.0,3310.0,2933.0
D38550_at,1381.0,3131.0,1459.0,1103.0
D38551_at,2606.0,1777.0,2052.0,2593.0
D38552_at,642.0,343.0,379.0,611.0
D38553_at,968.0,733.0,678.0,20.0
